property_type,num_beds,num_baths,size_sqft,furnishing,lat,lng,subzone,planning_area,price,built_year,tenure,pri_sch,sec_sch,mrt_station,population_density,closest_dist_to_mrt,closest_dist_to_pri,closest_dist_to_sec,close_pri_sch,close_sec_sch,closest_dist_to_shop,closest_dist_to_com
condo,1,1,452,unspecified,1.3,103.9,dhoby ghaut,museum,1342300.0,2023,99-year leasehold,0.0,1.0,3.0,1441.4414414414414,336.55025164296967,1943.0657016032892,802.4452139856216,0,1,320.7338315397653,2698.1884309960174
condo,4,4,1765,partial,1.345,103.9,upper paya lebar,serangoon,3360000.0,2022,freehold,0.0,1.0,0.0,18829.290006677053,626.5342592715958,470.50222994325225,292.727621425748,2,4,706.310485966041,785.5782396425145
condo,1,1,646,unspecified,1.303,103.8,boulevard,orchard,1412200.0,2023,99-year leasehold,0.0,0.0,0.0,890.1432913590968,1156.647572162142,907.4695879562522,1038.0924920726725,1,0,1284.8136794588147,1923.9343029869788
condo,4,3,2088,partial,1.312,103.8,holland drive,queenstown,7350000.0,2025,99-year leasehold,0.0,0.0,0.0,26938.602082005524,869.9144554083573,1139.32441132957,997.9798102500641,0,1,1467.1536477390737,2554.8549555266627
hdb,3,2,1000,unspecified,1.387,103.75,fajar,bukit panjang,577500.0,2012,99-year leasehold,1.0,0.0,0.0,41615.55721765146,643.6540499987857,514.3823096422366,396.3001983655931,3,3,582.8133767795258,3253.807649460785
condo,2,1,657,unspecified,1.377,103.75,gombak,bukit batok,892500.0,2025,99-year leasehold,0.0,0.0,1.0,4042.6657981516914,1125.2039592273268,869.1155549628778,748.9496900296207,3,2,562.9606965960891,4337.314061313317
semi-detached house,5,7,4350,unspecified,1.345,103.8,upper thomson,bishan,12075000.0,2000,freehold,0.0,1.0,3.0,7634.757760748149,2143.358354837132,1765.0260460959087,1804.0186732424202,0,0,2235.9777269691594,4028.8153603953024
condo,3,3,1453,unspecified,1.315,103.8,farrer court,bukit timah,2887500.0,2015,99-year leasehold,1.0,1.0,1.0,11059.413027916966,611.5387340671831,766.529220102696,591.1588980049153,1,1,1728.7910777290197,2683.888705499148
hdb,3,2,1130,unspecified,1.336,103.94,bedok reservoir,bedok,648900.0,2000,99-year leasehold,1.0,1.0,1.0,10704.829151431093,590.0533609072934,459.6938257898328,277.2071502121663,4,3,1406.720362573606,2099.133254598941
hdb,3,2,1001,unspecified,1.447,103.8,sembawang central,sembawang,609000.0,2018,99-year leasehold,1.0,1.0,1.0,36197.2123985854,861.9879473105757,526.4491725225464,496.2696358031957,3,2,784.649900355762,1960.4613485689797
semi-detached house,5,6,5000,unspecified,1.387,103.9,seletar hills,serangoon,7119000.0,2013,freehold,0.0,0.0,0.0,6307.118033208907,2059.5075692369637,371.28890896986087,580.5238536462458,2,1,566.1429202224953,1641.9006667192077
condo,4,3,1313,unspecified,1.313,103.9,aljunied,geylang,2274800.0,2025,freehold,2.0,2.0,3.0,13503.292250548708,458.4858788883652,1156.8417788654385,1065.0774324056463,0,0,1135.02008731752,2121.639069397502
condo,3,2,936,unspecified,1.311,103.8,leedon park,bukit timah,2310000.0,2025,freehold,0.0,0.0,1.0,3159.1856757419673,954.6735967250615,1238.8062858991407,1102.9710100327193,0,0,1415.080480681904,2533.2287280140895
condo,2,2,689,unfurnished,1.325,103.94,bedok north,bedok,1375500.0,2027,99-year leasehold,4.0,3.0,0.0,25545.463058338795,1008.2857681163771,131.85436738281751,673.7395702025157,3,3,886.3471202640201,3226.9883587089125
condo,5,4,1819,unspecified,1.275,103.8,everton park,bukit merah,6161400.0,2023,freehold,1.0,0.0,0.0,12285.669340884064,603.2914088486924,425.4572169621732,1134.5311439533932,1,0,1238.9395711773286,1620.2531878555435
hdb,3,2,1130,unspecified,1.371,103.94,pasir ris drive,pasir ris,575400.0,1989,99-year leasehold,4.0,3.0,0.0,33186.9740212221,1327.8165302149753,607.5977411346396,1330.8153881083026,2,0,969.5828308235895,1295.8580331311907
hdb,3,2,1313,unspecified,1.344,103.75,bukit batok south,bukit batok,628800.0,1997,99-year leasehold,0.0,0.0,0.0,8265.057573073516,589.4506324033852,447.2639326386268,326.10675313623835,2,1,708.3116800792761,1784.7197717590125
condo,2,2,753,unspecified,1.298,103.9,bugis,downtown core,2288000.0,2024,99-year leasehold,0.0,0.0,0.0,3176.302640970735,552.9034637503229,2077.186904742443,838.452560653443,0,1,517.1085849889372,2588.0038213482776
condo,4,4,1399,unspecified,1.316,103.9,balestier,novena,3272800.0,2023,freehold,1.0,0.0,0.0,16832.762379321084,661.215973601564,1041.3723371412782,930.903512891306,0,1,1395.75298926985,2065.8802387248115
executive condo,3,2,926,fully,1.397,103.9,anchorvale,sengkang,1076200.0,2023,99-year leasehold,3.0,1.0,0.0,32150.73160954099,2365.6697309772057,509.5724331208768,811.1911441550535,2,1,654.9359310718728,1521.1899166798687
condo,3,2,1281,unspecified,1.317,103.8,nassim,tanglin,3922700.0,2025,freehold,0.0,0.0,1.0,4541.768045417681,569.290938701315,611.4072527776592,409.5359951827492,1,1,1883.6948502854393,2771.776373443841
condo,3,2,904,unspecified,1.299,103.9,bugis,downtown core,2516800.0,2024,99-year leasehold,0.0,0.0,0.0,3176.302640970735,444.6263932054229,2015.9232170534617,813.4303796271456,0,1,416.3462659437621,2641.4391471732356
hdb,4,2,1313,unspecified,1.377,103.94,pasir ris west,pasir ris,724500.0,1989,99-year leasehold,1.0,0.0,0.0,22603.258810155363,1380.255964095817,279.66200724588015,1644.8012360118373,1,0,532.4063749380139,838.5784564970029
condo,1,1,527,partial,1.304,103.8,chatsworth,tanglin,1541400.0,2024,freehold,0.0,0.0,0.0,5118.110236220472,1243.8847259264267,998.650586747237,1146.3061991557615,1,0,1269.7121045171157,2020.375424275389
bungalow,6,6,7015,partial,1.317,103.94,frankel,bedok,8998500.0,2014,freehold,3.0,1.0,0.0,8026.34334783924,1468.3786920834889,742.9894947180309,316.77357926626706,2,1,1233.884580451349,3650.1545962005107
hdb,3,2,1001,unspecified,1.335,103.9,joo seng,toa payoh,798000.0,2017,99-year leasehold,0.0,1.0,0.0,7709.042754445706,661.2354188356413,83.22330303576062,117.43569597677146,2,2,825.7900472600757,1836.4613746100574
condo,3,2,958,unspecified,1.44,103.8,sembawang springs,sembawang,1459500.0,2026,99-year leasehold,0.0,0.0,1.0,8268.146261597236,1273.807589252423,862.2204867432343,742.5901614599339,1,1,1158.9963371949023,2520.181683140924
executive condo,3,3,1184,unspecified,1.425,103.9,yishun east,yishun,1257900.0,2014,99-year leasehold,2.0,1.0,0.0,34290.3973322783,4060.4856539358934,2946.415768708614,3102.727397382428,0,0,3013.2044014958847,1935.8758243677987
condo,4,4,2368,unspecified,1.311,103.8,newton circus,newton,10963400.0,2025,freehold,0.0,0.0,2.0,1170.96018735363,954.6735967250615,1238.8062858991407,1102.9710100327193,0,0,1415.080480681904,2533.2287280140895
executive condo,2,2,764,unspecified,1.397,103.9,anchorvale,sengkang,1155000.0,2017,99-year leasehold,3.0,1.0,0.0,32150.73160954099,2365.6697309772057,509.5724331208768,811.1911441550535,2,1,654.9359310718728,1521.1899166798687
condo,2,2,667,partial,1.3125,103.8,farrer court,bukit timah,1772400.0,2023,freehold,1.0,1.0,1.0,11059.413027916966,791.0017042641059,1041.6632217345634,893.8486490372085,0,1,1525.1917709161926,2580.8725173781363
condo,3,2,1076,partial,1.312,103.9,kampong java,kallang,2415000.0,2026,99-year leasehold,1.0,0.0,0.0,10009.505703422054,401.7159552009021,1274.9179856097999,1196.1790247439662,0,0,924.1777975910361,2185.1609525580593
semi-detached house,5,5,4925,unspecified,1.331,103.75,toh tuck,clementi,6016500.0,2013,freehold,0.0,0.0,0.0,9.624639076034649,888.6635210704789,1622.3545764519008,1350.3415262655758,0,0,535.6754798656024,453.2542515024751
hdb,3,2,1140,unspecified,1.277,103.8,chinatown,outram,1260000.0,2011,99-year leasehold,0.0,0.0,3.0,17864.441416893733,798.3495310642372,423.2625904362083,955.8517725607105,2,1,1286.2690128036534,1445.316501666859
condo,5,3,5985,unspecified,1.318,103.8,nassim,tanglin,14184200.0,2013,freehold,0.0,0.0,1.0,4541.768045417681,550.8742131362193,549.8357027149495,334.99217187467343,1,1,1965.5723638075735,2820.968217221245
condo,1,1,560,unfurnished,1.303,103.9,tanjong rhu,kallang,1761900.0,2023,99-year leasehold,0.0,1.0,1.0,5417.926460548132,38.532027574390455,1746.9047906375886,855.666205816679,0,1,181.51154640274086,2678.3169507179646
condo,2,1,710,partial,1.304,103.8,chatsworth,tanglin,1937000.0,2024,freehold,0.0,0.0,0.0,5118.110236220472,1243.8847259264267,998.650586747237,1146.3061991557615,1,0,1269.7121045171157,2020.375424275389
hdb,3,2,969,unspecified,1.447,103.75,north coast,woodlands,525000.0,2004,99-year leasehold,0.0,0.0,0.0,5027.631196243819,2811.0961818062497,2978.5763521387034,3089.2203662631377,0,0,3660.584753228863,3497.064266645302
condo,5,4,1884,unfurnished,1.339,103.75,bukit batok south,bukit batok,4438400.0,2024,freehold,0.0,0.0,0.0,8265.057573073516,1067.256200278732,854.6352458963188,797.7921970034943,1,1,595.4435825630696,1251.995349166412
hdb,2,2,645,unfurnished,1.305,103.9,crawford,kallang,446200.0,1982,99-year leasehold,0.0,0.0,0.0,35508.47457627119,211.84682953933415,1639.2192130801427,953.3681397544981,0,1,278.19019073000294,2544.6631802191678
hdb,3,2,1001,partial,1.315,103.9,bendemeer,kallang,984900.0,2017,99-year leasehold,2.0,1.0,1.0,27287.914003486345,594.4536194240955,1070.2719953262983,965.5401733396909,0,1,1346.2838241404681,2078.9681339262993
condo,1,1,549,unspecified,1.313,103.8,holland road,bukit timah,1470000.0,2017,99-year leasehold,0.0,0.0,1.0,3200.2834199338686,719.8606014672802,946.3865350754154,790.9172941143811,1,1,1588.5411870002501,2611.150150790213
hdb,3,2,990,unspecified,1.374,103.9,cheng san,ang mo kio,521800.0,1981,99-year leasehold,3.0,1.0,1.0,29371.141571622895,1903.052568789917,97.75918177491778,453.3493591048788,3,4,533.69685056448,2549.6261203840186
terraced house,5,6,3966,unspecified,1.355,103.9,lorong ah soo,hougang,5019000.0,2008,freehold,1.0,1.0,0.0,21326.294952161003,591.9611323814361,767.9953929124274,622.7338654248098,1,3,470.20751547311903,556.7520666476856
condo,4,3,1195,unspecified,1.313,103.9,aljunied,geylang,2082900.0,2025,freehold,2.0,2.0,3.0,13503.292250548708,458.4858788883652,1156.8417788654385,1065.0774324056463,0,0,1135.02008731752,2121.639069397502
condo,3,2,1421,unspecified,1.274,103.8,anson,downtown core,3514400.0,2026,99-year leasehold,0.0,0.0,0.0,775.1937984496124,512.4786616452145,466.17564766447134,1154.6094689648473,1,0,1229.0595933534555,1711.3548064203899
condo,3,3,1603,unspecified,1.292,103.8,robertson quay,singapore river,4376200.0,2009,freehold,0.0,0.0,0.0,5941.571259376233,539.4442106632936,684.2230596831197,184.16525503076352,2,3,902.0577606915764,1036.1826631424879
hdb,3,2,1291,unspecified,1.362,103.75,hong kah north,bukit batok,564900.0,1987,99-year leasehold,1.0,2.0,0.0,30435.288640595903,456.36647502398324,414.18739666144523,255.358946516787,1,2,1362.2211894920226,3579.1246002283137
executive condo,4,4,1367,unspecified,1.395,103.9,fernvale,sengkang,1837500.0,2016,99-year leasehold,2.0,1.0,0.0,24586.051179126945,2298.8629143549197,184.63337683466963,536.1741079883441,2,1,341.13700368866006,1461.2168202053242
condo,2,1,752,unspecified,1.428,103.8,woodgrove,woodlands,924000.0,2014,99-year leasehold,2.0,1.0,0.0,20304.04999399111,1918.2840497434167,1609.464560727434,1627.2776379838895,0,0,1867.863760026113,3060.6453904536993
condo,3,2,936,unspecified,1.311,103.8,leedon park,bukit timah,2520300.0,2025,freehold,0.0,0.0,1.0,3159.1856757419673,954.6735967250615,1238.8062858991407,1102.9710100327193,0,0,1415.080480681904,2533.2287280140895
condo,4,4,1281,unspecified,1.345,103.9,upper paya lebar,serangoon,2733200.0,2022,freehold,0.0,1.0,0.0,18829.290006677053,626.5342592715958,470.50222994325225,292.727621425748,2,4,706.310485966041,785.5782396425145
hdb,3,2,1022,partial,1.317,103.9,geylang east,geylang,892500.0,2011,99-year leasehold,2.0,0.0,3.0,11604.095563139932,575.1452228229833,1023.2368239977194,908.0076691177096,0,1,1451.6734246102662,2058.445255974952
hdb,3,2,1011,unspecified,1.45,103.8,sembawang central,sembawang,545000.0,2001,99-year leasehold,1.0,1.0,1.0,36197.2123985854,848.4183136467071,351.5241766875705,438.78456338483727,3,2,810.9216704393821,1767.0136375851826
condo,4,3,1345,partial,1.309,103.8,ridout,tanglin,3990000.0,2023,freehold,0.0,0.0,0.0,778.7683164258633,1136.4206388140085,1441.7184095483487,1314.7079153402278,0,0,1331.5509026922628,2503.5823999332497
hdb,5,4,1905,unspecified,1.429,103.75,woodgrove,woodlands,1155000.0,2004,99-year leasehold,2.0,1.0,0.0,20304.04999399111,1408.10107958616,2667.055703189551,3037.638299253357,0,0,3365.9936358638042,1446.5573761042212
executive condo,4,3,1185,partial,1.417,103.9,lower seletar,yishun,1604400.0,2017,99-year leasehold,0.0,0.0,0.0,2219.9750163583367,3619.1130254610885,2680.969377262088,2641.0658898173588,0,0,2817.236363671301,1238.1371413860124
hdb,3,2,1119,unspecified,1.326,103.9,kampong ubi,geylang,556500.0,1986,99-year leasehold,1.0,1.0,1.0,6283.280085197019,659.0133421680833,748.431455840862,898.2163266032529,2,1,953.6983690501338,2241.0835820085967
hdb,4,3,1825,unspecified,1.4375,103.75,woodlands west,woodlands,934500.0,2004,99-year leasehold,1.0,1.0,1.0,20568.967608880263,1930.1531456427583,2623.9344281163526,2883.697349272674,0,0,3353.980743036351,2415.1593436731055
hdb,3,2,990,unspecified,1.398,103.94,waterway east,punggol,609000.0,2009,99-year leasehold,3.0,1.0,0.0,33964.54472199838,3112.778392016831,2125.5724934012433,2879.1008903410084,0,0,2267.019564063258,2094.755836156717
condo,5,4,1679,unspecified,1.367,103.9,kovan,hougang,2536300.0,2023,99-year leasehold,0.0,0.0,1.0,12732.218002668582,1363.4942660071342,669.2083540415205,502.57772741848765,1,2,1072.0306962793743,1797.0392899100175
semi-detached house,7,9,4350,unspecified,1.345,103.8,upper thomson,bishan,11340000.0,2000,freehold,0.0,1.0,3.0,7634.757760748149,2143.358354837132,1765.0260460959087,1804.0186732424202,0,0,2235.9777269691594,4028.8153603953024
condo,3,2,797,unfurnished,1.309,103.9,katong,marine parade,1827000.0,2025,freehold,1.0,2.0,0.0,8674.698795180724,514.7797757316296,1494.3186472015718,1243.1410833496113,0,0,616.2211483557435,2315.63497812499
condo,4,4,1259,unspecified,1.33,103.8,holland road,bukit timah,3879300.0,2021,freehold,0.0,0.0,1.0,3200.2834199338686,778.2900647546518,693.4365954244306,898.7123783342576,1,1,2302.33564919123,3612.104291798139
hdb,3,2,969,unspecified,1.3125,103.9,kampong java,kallang,829500.0,2004,99-year leasehold,1.0,0.0,0.0,10009.505703422054,417.13424505528667,1212.4594258203867,1127.3089956561514,0,0,1029.2696797116846,2150.894892499274
condo,3,2,786,partial,1.435,103.9,yishun east,yishun,1050000.0,2019,99-year leasehold,2.0,1.0,0.0,34290.3973322783,4477.936833839678,3025.37998797447,3670.629248147932,0,0,3455.00310681752,2939.1120256884196
condo,3,2,990,unspecified,1.33,103.8,holland road,bukit timah,2845500.0,2021,freehold,0.0,0.0,1.0,3200.2834199338686,778.2900647546518,693.4365954244306,898.7123783342576,1,1,2302.33564919123,3612.104291798139
condo,4,4,1302,unspecified,1.44,103.8,sembawang springs,sembawang,1953000.0,2026,99-year leasehold,0.0,0.0,1.0,8268.146261597236,1273.807589252423,862.2204867432343,742.5901614599339,1,1,1158.9963371949023,2520.181683140924
condo,2,2,678,partial,1.353,103.9,bishan east,bishan,1344000.0,2016,99-year leasehold,2.0,2.0,2.0,15775.982167734745,325.9602704430451,839.1813810174865,596.2998218989054,1,3,384.3693838826368,332.7870494022572
hdb,4,2,1248,unspecified,1.281,103.8,depot road,bukit merah,766500.0,2006,99-year leasehold,0.0,0.0,0.0,14786.344110332353,1044.743883833067,591.5883935972374,522.9607559011173,2,1,1052.9591746789563,1139.9014075851564
semi-detached house,5,7,7000,unspecified,1.461,103.8,sembawang straits,sembawang,6594000.0,2007,freehold,0.0,0.0,0.0,1465.3981893509285,1565.4414366851445,444.1791365808971,822.6992459241054,2,1,1620.8609312774438,1514.6958106371576
hdb,3,2,1216,unspecified,1.424,103.9,yishun east,yishun,724500.0,2017,99-year leasehold,2.0,1.0,0.0,34290.3973322783,4032.469847010639,2960.3913332055536,3035.2785024176483,0,0,2987.1965080287046,1840.718764229254
executive condo,3,2,936,unspecified,1.445,103.8,sembawang springs,sembawang,1344000.0,2017,99-year leasehold,0.0,0.0,1.0,8268.146261597236,936.1685443365882,705.3015803875966,464.27996449135475,2,2,840.0268276040223,2107.6143618189562
condo,2,2,678,unspecified,1.294,103.8,chatsworth,tanglin,1669500.0,2014,999-year leasehold,0.0,0.0,0.0,5118.110236220472,672.336343465033,566.1457103681322,106.94151501830721,2,3,1010.5007506669068,1157.2457416372913
executive condo,3,2,968,unspecified,1.435,103.9,yishun east,yishun,1197000.0,2027,99-year leasehold,2.0,1.0,0.0,34290.3973322783,4477.936833839678,3025.37998797447,3670.629248147932,0,0,3455.00310681752,2939.1120256884196
condo,1,1,527,partial,1.353,103.8,upper thomson,bishan,1037400.0,2023,99-year leasehold,0.0,1.0,3.0,7634.757760748149,2277.16560714776,2586.504311071428,2447.177668528884,0,0,2048.7680738869253,3975.2723997124995
condo,3,2,1152,unspecified,1.331,103.75,sunset way,clementi,2368800.0,2024,999-year leasehold,0.0,0.0,0.0,5861.603900819588,888.6635210704789,1622.3545764519008,1350.3415262655758,0,0,535.6754798656024,453.2542515024751
condo,2,2,947,unspecified,1.3125,103.94,bayshore,bedok,1154000.0,1996,99-year leasehold,0.0,1.0,1.0,2971.9163874262003,1906.507296541245,1068.7909912910193,783.0034737052476,0,1,1647.4821091849872,3969.9520285093995
condo,2,1,635,unspecified,1.345,103.9,upper paya lebar,serangoon,1567600.0,2022,freehold,0.0,1.0,0.0,18829.290006677053,626.5342592715958,470.50222994325225,292.727621425748,2,4,706.310485966041,785.5782396425145
condo,2,2,657,unspecified,1.315,103.9,moulmein,novena,1785000.0,2022,freehold,1.0,0.0,1.0,6901.669758812616,594.4536194240955,1070.2719953262983,965.5401733396909,0,1,1346.2838241404681,2078.9681339262993
hdb,3,2,1377,unspecified,1.368,103.94,pasir ris drive,pasir ris,701400.0,1989,99-year leasehold,4.0,3.0,0.0,33186.9740212221,1417.9079854458496,533.1294193687577,1273.6915068556293,2,0,1259.674259508049,1576.590106478566
condo,3,3,1862,partial,1.304,103.8,tanglin,orchard,7039200.0,2017,freehold,0.0,0.0,0.0,2208.955223880597,1243.8847259264267,998.650586747237,1146.3061991557615,1,0,1269.7121045171157,2020.375424275389
hdb,3,2,1184,unspecified,1.3955,103.9,sengkang town centre,sengkang,630000.0,2002,99-year leasehold,2.0,2.0,1.0,42307.42896268402,2316.260313375246,292.7421351998213,622.4273080624021,2,1,443.82459946617297,1473.4968381402593
condo,3,2,1076,unspecified,1.266,103.8,maritime square,bukit merah,2815000.0,2025,99-year leasehold,0.0,0.0,4.0,1359.2670471613098,641.8227609154545,1267.0083420548274,1675.7145892320023,0,0,847.5708892779642,2592.6061365658684
executive condo,3,3,1076,unspecified,1.435,103.9,yishun east,yishun,1398400.0,2027,99-year leasehold,2.0,1.0,0.0,34290.3973322783,4477.936833839678,3025.37998797447,3670.629248147932,0,0,3455.00310681752,2939.1120256884196
condo,1,1,452,partial,1.38,103.94,pasir ris park,pasir ris,656200.0,2011,999-year leasehold,0.0,0.0,0.0,4559.870743821435,1514.7549743146521,501.0987585027317,1868.3931792202086,1,0,522.9824132422187,730.4573465895269
hdb,3,2,1302,unspecified,1.319,103.9,aljunied,geylang,795900.0,1979,99-year leasehold,2.0,2.0,3.0,13503.292250548708,434.41007533248654,946.972851468667,900.566621383998,1,1,1551.5226760754467,2060.73226079669
hdb,2,2,721,unfurnished,1.328,103.9,balestier,novena,586800.0,2016,99-year leasehold,1.0,0.0,0.0,16832.762379321084,723.498698480493,780.2239034565107,682.2672928201762,3,1,832.9939391142425,2335.8876557618255
condo,2,2,710,unspecified,1.316,103.9,lavender,kallang,1361800.0,2026,freehold,0.0,0.0,2.0,12802.21957986524,661.215973601564,1041.3723371412782,930.903512891306,0,1,1395.75298926985,2065.8802387248115
condo,3,2,936,unspecified,1.331,103.75,sunset way,clementi,1870000.0,2024,999-year leasehold,0.0,0.0,0.0,5861.603900819588,888.6635210704789,1622.3545764519008,1350.3415262655758,0,0,535.6754798656024,453.2542515024751
hdb,3,2,1001,unspecified,1.447,103.8,sembawang east,sembawang,575400.0,2016,99-year leasehold,0.0,0.0,0.0,22872.971903442816,861.9879473105757,526.4491725225464,496.2696358031957,3,2,784.649900355762,1960.4613485689797
condo,3,2,1012,partial,1.377,103.75,gombak,bukit batok,1575000.0,2025,99-year leasehold,0.0,0.0,1.0,4042.6657981516914,1125.2039592273268,869.1155549628778,748.9496900296207,3,2,562.9606965960891,4337.314061313317
