,property_type,num_beds,num_baths,size_sqft,price,built_year,price_per_sqft,furnishing_unspecified,furnishing_partial,furnishing_unfurnished,furnishing_fully,tenure_99,tenure_999,tenure_freehold
75,8,3,2,1291,564900.0,35,437.57,1,0,0,0,1,0,0
76,6,4,4,1367,1837500.0,6,1344.18,1,0,0,0,1,0,0
77,4,2,1,752,924000.0,8,1228.72,1,0,0,0,1,0,0
78,4,3,2,936,2520300.0,-3,2692.63,1,0,0,0,0,0,1
79,4,4,4,1281,2733200.0,0,2133.65,1,0,0,0,0,0,1
80,8,3,2,1022,892500.0,11,873.29,0,1,0,0,1,0,0
81,8,3,2,1011,545000.0,21,539.07,1,0,0,0,1,0,0
82,4,4,3,1345,3990000.0,-1,2966.54,0,1,0,0,0,0,1
83,8,5,4,1905,1155000.0,18,606.3,1,0,0,0,1,0,0
84,6,4,3,1185,1604400.0,5,1353.92,0,1,0,0,1,0,0
85,8,3,2,1119,556500.0,36,497.32,1,0,0,0,1,0,0
86,8,4,3,1825,934500.0,18,512.05,1,0,0,0,1,0,0
87,8,3,2,990,609000.0,13,615.15,1,0,0,0,1,0,0
88,4,5,4,1679,2536300.0,-1,1510.6,1,0,0,0,1,0,0
89,10,7,9,4350,11340000.0,22,2606.9,1,0,0,0,0,0,1
90,4,3,2,797,1827000.0,-3,2292.35,0,0,1,0,0,0,1
91,4,4,4,1259,3879300.0,1,3081.25,1,0,0,0,0,0,1
92,8,3,2,969,829500.0,18,856.04,1,0,0,0,1,0,0
93,4,3,2,786,1050000.0,3,1335.88,0,1,0,0,1,0,0
94,4,3,2,990,2845500.0,1,2874.24,1,0,0,0,0,0,1
95,4,4,4,1302,1953000.0,-4,1500.0,1,0,0,0,1,0,0
96,4,2,2,678,1344000.0,6,1982.3,0,1,0,0,1,0,0
97,8,4,2,1248,766500.0,16,614.18,1,0,0,0,1,0,0
98,10,5,7,7000,6594000.0,15,942.0,1,0,0,0,0,0,1
99,8,3,2,1216,724500.0,5,595.81,1,0,0,0,1,0,0
100,6,3,2,936,1344000.0,5,1435.9,1,0,0,0,1,0,0
101,4,2,2,678,1669500.0,8,2462.39,1,0,0,0,0,1,0
102,6,3,2,968,1197000.0,-5,1236.57,1,0,0,0,1,0,0
103,4,1,1,527,1037400.0,-1,1968.5,0,1,0,0,1,0,0
104,4,3,2,1152,2368800.0,-2,2056.25,1,0,0,0,0,1,0
105,4,2,2,947,1154000.0,26,1218.59,1,0,0,0,1,0,0
106,4,2,1,635,1567600.0,0,2468.66,1,0,0,0,0,0,1
107,4,2,2,657,1785000.0,0,2716.89,1,0,0,0,0,0,1
108,8,3,2,1377,701400.0,33,509.37,1,0,0,0,1,0,0
109,4,3,3,1862,7039200.0,5,3780.45,0,1,0,0,0,0,1
110,8,3,2,1184,630000.0,20,532.09,1,0,0,0,1,0,0
111,4,3,2,1076,2815000.0,-3,2616.17,1,0,0,0,1,0,0
112,6,3,3,1076,1398400.0,-5,1299.63,1,0,0,0,1,0,0
113,4,1,1,452,656200.0,11,1451.77,0,1,0,0,0,1,0
114,8,3,2,1302,795900.0,43,611.29,1,0,0,0,1,0,0
115,8,2,2,721,586800.0,6,813.87,0,0,1,0,1,0,0
116,4,2,2,710,1361800.0,-4,1918.03,1,0,0,0,0,0,1
117,4,3,2,936,1870000.0,-2,1997.86,1,0,0,0,0,1,0
118,8,3,2,1001,575400.0,6,574.83,1,0,0,0,1,0,0
119,4,3,2,1012,1575000.0,-3,1556.32,0,1,0,0,1,0,0
120,4,3,3,1475,3150000.0,20,2135.59,1,0,0,0,0,0,1
121,12,6,6,3863,2940000.0,24,761.07,1,0,0,0,1,0,0
122,8,3,2,1033,912300.0,9,883.16,0,0,0,1,1,0,0
123,4,1,1,463,1344000.0,7,2902.81,0,1,0,0,0,0,1
124,4,3,2,1259,3771600.0,-4,2995.71,1,0,0,0,1,0,0
125,8,3,2,1033,630000.0,12,609.87,1,0,0,0,1,0,0
126,4,2,1,560,1029000.0,6,1837.5,1,0,0,0,0,0,1
127,8,3,2,1205,648900.0,5,538.51,1,0,0,0,1,0,0
128,4,3,2,1399,4357500.0,8,3114.72,0,1,0,0,1,0,0
129,9,5,4,3090,4179000.0,13,1352.43,0,1,0,0,1,0,0
130,4,2,2,872,1648500.0,-2,1890.48,1,0,0,0,0,1,0
131,4,3,3,1119,2940300.0,0,2627.61,0,0,1,0,1,0,0
132,4,1,1,517,965000.0,1,1866.54,1,0,0,0,1,0,0
133,6,3,3,1313,1260000.0,22,959.63,1,0,0,0,1,0,0
134,8,4,2,1356,813800.0,19,600.15,1,0,0,0,1,0,0
135,8,3,2,1001,932400.0,5,931.47,1,0,0,0,1,0,0
136,8,3,2,1290,819000.0,47,634.88,1,0,0,0,1,0,0
137,2,5,5,6000,22890000.0,12,3815.0,1,0,0,0,1,0,0
138,8,3,2,1109,651000.0,34,587.02,1,0,0,0,1,0,0
139,4,3,3,1249,3779000.0,0,3025.62,1,0,0,0,0,0,1
140,8,3,2,1011,672000.0,4,664.69,1,0,0,0,1,0,0
141,4,3,3,915,1260000.0,4,1377.05,1,0,0,0,1,0,0
142,6,3,2,1324,1428000.0,6,1078.55,0,1,0,0,1,0,0
143,4,2,1,797,1281000.0,5,1607.28,1,0,0,0,1,0,0
144,6,2,2,829,1047900.0,8,1264.05,1,0,0,0,1,0,0
145,4,3,2,958,1998200.0,-2,2085.8,1,0,0,0,1,0,0
146,4,4,5,2368,6195000.0,-3,2616.13,1,0,0,0,0,0,1
147,4,2,1,657,1633800.0,-1,2486.76,1,0,0,0,1,0,0
148,4,5,4,1690,3059700.0,-3,1810.47,1,0,0,0,1,0,0
149,8,3,2,1065,546000.0,37,512.68,0,0,1,0,1,0,0
150,10,5,3,3400,6825000.0,52,2007.35,1,0,0,0,0,0,1
151,6,3,2,1087,1554000.0,6,1429.62,0,1,0,0,1,0,0
152,8,3,2,1001,924000.0,9,923.08,0,1,0,0,1,0,0
153,4,3,3,1302,2310000.0,-4,1774.19,0,1,0,0,1,0,0
154,8,3,2,1001,609000.0,6,608.39,1,0,0,0,1,0,0
155,8,3,2,689,409500.0,36,594.34,1,0,0,0,1,0,0
156,6,5,4,1690,2612400.0,5,1545.8,1,0,0,0,1,0,0
157,4,2,2,689,1785000.0,-1,2590.71,1,0,0,0,1,0,0
158,8,2,2,882,441000.0,42,500.0,0,1,0,0,1,0,0
159,8,3,3,1582,1134000.0,37,716.81,1,0,0,0,1,0,0
160,8,2,2,700,399000.0,46,570.0,1,0,0,0,1,0,0
161,10,5,6,2750,7140000.0,44,2596.36,1,0,0,0,0,0,1
162,4,1,1,560,1680000.0,-1,3000.0,0,1,0,0,1,0,0
163,4,3,2,947,1773300.0,0,1872.54,1,0,0,0,0,0,1
164,4,5,4,2142,5953500.0,-2,2779.41,0,0,1,0,0,0,1
165,8,3,2,989,607800.0,46,614.56,1,0,0,0,1,0,0
166,4,1,1,527,1811200.0,-3,3436.81,0,0,1,0,0,0,1
167,4,1,1,484,1344000.0,0,2776.86,0,1,0,0,0,0,1
168,8,2,2,721,512400.0,4,710.68,1,0,0,0,1,0,0
169,4,2,2,700,1362900.0,-2,1947.0,0,0,0,1,0,1,0
170,4,3,2,1152,2625000.0,-2,2278.65,0,1,0,0,0,0,1
171,8,3,2,1216,682500.0,19,561.27,1,0,0,0,1,0,0
172,8,3,2,1119,577500.0,33,516.09,0,0,1,0,1,0,0
173,4,5,4,2142,5477800.0,-2,2557.33,1,0,0,0,0,0,1
174,8,3,2,1001,699300.0,6,698.6,1,0,0,0,1,0,0
175,4,1,1,474,1360100.0,0,2869.41,1,0,0,0,1,0,0
176,4,3,3,1066,1510900.0,2,1417.35,1,0,0,0,1,0,0
177,10,5,5,2600,5964000.0,34,2293.85,1,0,0,0,0,0,1
178,4,3,3,1119,2831800.0,0,2530.65,1,0,0,0,1,0,0
179,8,3,2,1001,656200.0,5,655.54,1,0,0,0,1,0,0
180,4,5,5,1819,4519200.0,-1,2484.44,1,0,0,0,1,0,0
181,6,4,3,1153,1048800.0,5,909.63,0,0,0,1,1,0,0
182,4,3,3,1152,2292200.0,-1,1989.76,1,0,0,0,0,0,1
183,8,2,2,785,420000.0,37,535.03,1,0,0,0,1,0,0
184,2,6,7,7432,16800000.0,6,2260.5,1,0,0,0,1,0,0
185,4,3,4,1399,3913200.0,-2,2797.14,1,0,0,0,0,0,1
186,4,4,4,1410,2752300.0,-2,1951.99,1,0,0,0,1,0,0
187,4,3,2,1184,3066000.0,6,2589.53,1,0,0,0,0,0,1
188,4,1,1,689,1491000.0,14,2164.01,0,0,0,1,1,0,0
189,8,3,2,990,577500.0,38,583.33,1,0,0,0,1,0,0
190,8,3,2,1119,522900.0,36,467.29,1,0,0,0,1,0,0
191,4,3,2,1227,3570000.0,-3,2909.54,0,1,0,0,0,0,1
192,4,2,2,646,1291500.0,-1,1999.23,0,1,0,0,1,0,0
193,4,1,1,592,1365000.0,14,2305.74,0,0,0,1,0,0,1
194,8,2,2,732,577500.0,6,788.93,1,0,0,0,1,0,0
195,4,2,2,689,2119300.0,-2,3075.91,1,0,0,0,0,0,1
196,8,2,2,721,420000.0,40,582.52,1,0,0,0,1,0,0
197,4,3,2,1378,3849300.0,6,2793.4,0,0,1,0,0,0,1
198,8,3,2,1011,603800.0,4,597.23,1,0,0,0,1,0,0
199,8,3,2,904,493500.0,35,545.91,0,0,1,0,1,0,0
200,4,3,2,1141,2730000.0,-3,2392.64,0,1,0,0,1,0,0
201,2,6,4,4000,12810000.0,15,3202.5,0,0,1,0,0,0,1
202,6,4,3,1152,1260000.0,-1,1093.75,0,1,0,0,1,0,0
203,6,4,3,1399,1764000.0,-4,1260.9,0,1,0,0,1,0,0
204,4,2,2,807,2787800.0,-3,3454.52,0,0,1,0,0,0,1
205,4,3,2,1141,3360000.0,-1,2944.79,1,0,0,0,1,0,0
206,4,4,3,1227,2605300.0,-3,2123.31,1,0,0,0,0,0,1
207,4,1,1,560,1365000.0,8,2437.5,1,0,0,0,1,0,0
208,8,3,2,914,519800.0,33,568.71,1,0,0,0,1,0,0
209,4,2,2,667,2047500.0,-1,3069.72,0,0,1,0,0,0,1
210,4,3,2,1249,3780000.0,-1,3026.42,1,0,0,0,1,0,0
211,4,3,3,1000,2415000.0,-4,2415.0,1,0,0,0,1,0,0
212,8,3,2,1238,774900.0,22,625.93,1,0,0,0,1,0,0
213,4,3,3,1206,1701000.0,24,1410.45,0,1,0,0,1,0,0
214,4,3,2,1066,1942500.0,-4,1822.23,0,1,0,0,1,0,0
215,4,1,1,517,819000.0,6,1584.14,1,0,0,0,1,0,0
216,4,2,2,764,945000.0,6,1236.91,1,0,0,0,1,0,0
217,4,3,2,1044,2192400.0,-4,2100.0,1,0,0,0,1,0,0
218,6,4,3,1876,2100000.0,8,1119.4,0,0,1,0,1,0,0
219,4,2,2,818,1575000.0,7,1925.43,0,1,0,0,0,0,1
220,12,4,3,1617,3675000.0,24,2272.73,1,0,0,0,0,0,1
221,4,1,1,495,1527800.0,-1,3086.46,1,0,0,0,0,0,1
222,4,3,2,872,2568300.0,-2,2945.3,1,0,0,0,0,0,1
223,4,4,3,1281,3081800.0,-2,2405.78,0,1,0,0,1,0,0
224,4,1,1,527,1260000.0,-1,2390.89,1,0,0,0,1,0,0
225,4,2,2,689,1974000.0,0,2865.02,1,0,0,0,1,0,0
226,4,2,2,926,1470000.0,2,1587.47,1,0,0,0,1,0,0
227,4,4,4,1464,2929500.0,-1,2001.02,0,0,1,0,1,0,0
228,4,2,1,678,1080400.0,-4,1593.51,0,0,1,0,1,0,0
229,4,2,2,710,1502600.0,-4,2116.34,0,0,1,0,0,0,1
230,8,3,2,1033,945000.0,27,914.81,1,0,0,0,1,0,0
231,8,3,2,1216,771800.0,5,634.7,1,0,0,0,1,0,0
232,4,4,4,1581,3853500.0,-2,2437.38,0,1,0,0,1,0,0
233,6,4,3,1206,1470000.0,-3,1218.91,0,1,0,0,1,0,0
234,8,3,2,1000,827400.0,4,827.4,1,0,0,0,1,0,0
235,6,3,3,1044,1202200.0,-4,1151.53,0,0,1,0,1,0,0
236,4,3,2,958,1607100.0,-2,1677.56,1,0,0,0,1,0,0
237,4,1,1,484,1485100.0,-2,3068.39,0,1,0,0,0,0,1
238,4,2,1,710,1470000.0,-4,2070.42,0,1,0,0,1,0,0
239,4,2,2,1119,2814000.0,6,2514.75,1,0,0,0,1,0,0
240,8,3,2,1001,588000.0,5,587.41,0,1,0,0,1,0,0
241,4,4,4,1496,3045000.0,-1,2035.43,0,1,0,0,1,0,0
242,4,2,2,850,1575000.0,13,1852.94,1,0,0,0,0,0,1
243,10,6,6,5748,4615800.0,0,803.03,1,0,0,0,1,0,0
244,2,6,6,5580,14910000.0,25,2672.04,1,0,0,0,1,0,0
245,8,3,2,990,699300.0,6,706.36,1,0,0,0,1,0,0
246,2,6,8,9000,54600000.0,11,6066.67,1,0,0,0,0,1,0
247,6,4,2,1249,1449000.0,6,1160.13,0,1,0,0,1,0,0
248,4,3,3,1227,2696200.0,1,2197.39,1,0,0,0,0,0,1
249,4,3,3,2723,10269000.0,12,3771.21,1,0,0,0,1,0,0
250,4,1,1,474,1360100.0,0,2869.41,0,1,0,0,1,0,0
251,4,3,2,947,1890000.0,-4,1995.78,0,1,0,0,1,0,0
252,8,3,2,1001,1016400.0,5,1015.38,1,0,0,0,1,0,0
253,4,4,4,1399,3953200.0,-1,2825.73,1,0,0,0,1,0,0
254,4,5,5,3454,12821900.0,-3,3712.19,1,0,0,0,1,0,0
255,12,3,3,2000,4200000.0,41,2100.0,1,0,0,0,0,0,1
256,8,3,2,904,513300.0,33,567.81,1,0,0,0,1,0,0
257,10,4,3,2800,6699000.0,33,2392.5,1,0,0,0,0,0,1
258,8,3,2,1183,966000.0,20,816.57,0,0,1,0,1,0,0
259,8,3,2,1184,735000.0,20,620.78,1,0,0,0,1,0,0
260,4,4,4,1378,2884400.0,-4,2093.18,0,1,0,0,1,0,0
261,4,2,3,1001,1837500.0,13,1835.66,0,1,0,0,0,0,1
262,4,3,2,969,1470000.0,-2,1517.03,1,0,0,0,1,0,0
263,10,6,7,8000,6279000.0,52,784.88,0,0,1,0,0,0,1
264,4,4,4,1959,5821200.0,-4,2971.52,1,0,0,0,1,0,0
265,8,3,2,904,513300.0,33,567.81,0,1,0,0,1,0,0
266,4,2,2,829,2337300.0,-4,2819.42,0,1,0,0,1,0,0
267,4,1,1,527,1739800.0,-3,3301.33,1,0,0,0,0,0,1
268,4,2,1,721,1118200.0,-2,1550.9,1,0,0,0,1,0,0
269,6,4,2,1195,1554000.0,6,1300.42,0,0,1,0,1,0,0
270,8,3,2,1109,480900.0,33,433.63,1,0,0,0,1,0,0
271,4,3,3,1163,3381000.0,-1,2907.14,1,0,0,0,0,0,1
272,10,3,4,5800,9333300.0,46,1609.19,1,0,0,0,0,0,1
273,2,6,6,11600,26827500.0,12,2312.72,0,1,0,0,1,0,0
274,8,3,2,1227,732900.0,47,597.31,1,0,0,0,1,0,0
275,8,3,2,1119,582800.0,34,520.82,1,0,0,0,1,0,0
276,4,3,3,1604,3150000.0,9,1963.84,1,0,0,0,1,0,0
277,8,3,2,1313,840000.0,36,639.76,1,0,0,0,1,0,0
278,4,3,3,1173,2507400.0,8,2137.6,0,0,1,0,1,0,0
279,4,4,4,1496,4711400.0,-1,3149.33,1,0,0,0,0,0,1
280,8,2,2,731,367500.0,40,502.74,1,0,0,0,1,0,0
281,4,4,4,2842,16054500.0,8,5649.01,1,0,0,0,0,0,1
282,4,4,4,1496,3255000.0,4,2175.8,1,0,0,0,1,0,0
283,4,1,1,635,1353300.0,12,2131.18,0,1,0,0,1,0,0
284,4,3,2,1302,2625000.0,-2,2016.13,1,0,0,0,1,0,0
285,4,3,3,1227,1751400.0,20,1427.38,1,0,0,0,1,0,0
286,4,4,3,1238,2835000.0,1,2289.98,0,0,0,1,1,0,0
287,8,2,2,818,428400.0,49,523.72,1,0,0,0,1,0,0
288,4,2,1,689,1862700.0,-1,2703.48,0,0,1,0,1,0,0
289,4,2,2,786,2372000.0,-3,3017.81,1,0,0,0,0,0,1
290,4,2,1,700,2052800.0,-1,2932.57,0,0,1,0,1,0,0
291,8,3,2,1087,510300.0,18,469.46,1,0,0,0,1,0,0
292,8,4,3,1291,735000.0,5,569.33,1,0,0,0,1,0,0
293,8,3,2,1109,714000.0,35,643.82,1,0,0,0,1,0,0
294,10,5,6,5678,7140000.0,23,1257.49,1,0,0,0,0,0,1
295,4,4,4,1496,2835000.0,-1,1895.05,1,0,0,0,1,0,0
296,4,3,2,850,1890000.0,6,2223.53,1,0,0,0,0,0,1
297,4,2,1,700,1637000.0,0,2338.57,1,0,0,0,0,0,1
298,4,4,4,1475,4329000.0,1,2934.92,1,0,0,0,0,0,1
299,2,5,5,7200,24150000.0,32,3354.17,1,0,0,0,0,0,1
300,4,1,1,484,1594700.0,-3,3294.83,0,1,0,0,1,0,0
301,8,3,2,915,840000.0,16,918.03,1,0,0,0,1,0,0
302,8,2,2,731,420000.0,42,574.56,1,0,0,0,1,0,0
303,4,1,1,710,1837500.0,0,2588.03,1,0,0,0,0,0,1
304,8,2,2,689,399000.0,33,579.1,1,0,0,0,1,0,0
305,8,3,3,1571,1575000.0,36,1002.55,1,0,0,0,1,0,0
306,4,4,3,2637,5591200.0,-3,2120.29,1,0,0,0,1,0,0
307,8,3,2,1216,892500.0,5,733.96,1,0,0,0,1,0,0
308,4,2,1,614,1830200.0,-1,2980.78,1,0,0,0,1,0,0
309,6,5,4,1593,2071400.0,-5,1300.31,1,0,0,0,1,0,0
310,4,4,3,1324,2475900.0,-1,1870.02,1,0,0,0,1,0,0
311,8,3,2,1001,669900.0,6,669.23,1,0,0,0,1,0,0
312,4,1,1,431,1236900.0,-1,2869.84,0,0,1,0,1,0,0
313,4,1,1,474,1415400.0,-1,2986.08,0,0,1,0,0,0,1
314,4,4,4,1302,2082200.0,-4,1599.23,1,0,0,0,1,0,0
315,4,2,2,1119,1709400.0,10,1527.61,1,0,0,0,1,0,0
316,4,5,5,1894,3150000.0,-4,1663.15,1,0,0,0,1,0,0
317,8,2,2,700,357000.0,46,510.0,0,1,0,0,1,0,0
318,8,2,2,721,378000.0,52,524.27,0,0,0,1,1,0,0
319,8,3,2,1022,681200.0,5,666.54,0,1,0,0,1,0,0
320,8,3,2,1044,651000.0,5,623.56,0,0,1,0,1,0,0
321,4,3,4,1539,3609900.0,0,2345.61,0,1,0,0,0,0,1
322,4,2,2,807,2453800.0,-3,3040.64,0,1,0,0,0,0,1
323,10,5,5,4000,6174000.0,20,1543.5,1,0,0,0,0,0,1
324,8,3,2,936,645800.0,19,689.96,1,0,0,0,1,0,0
325,4,4,3,1302,2625000.0,-2,2016.13,0,1,0,0,0,0,1
326,4,3,2,946,1879500.0,22,1986.79,0,0,0,1,0,1,0
327,2,6,7,11500,22890000.0,12,1990.43,1,0,0,0,1,0,0
328,4,3,2,893,1795500.0,-5,2010.64,1,0,0,0,1,0,0
329,4,3,3,1238,1417500.0,22,1144.99,0,0,1,0,1,0,0
330,4,1,1,614,2402400.0,6,3912.7,0,0,0,1,1,0,0
331,4,2,1,710,2243800.0,-2,3160.28,1,0,0,0,0,0,1
332,6,3,2,969,1197000.0,-5,1235.29,1,0,0,0,1,0,0
333,4,4,4,2056,6606600.0,-3,3213.33,1,0,0,0,0,0,1
334,4,3,2,1206,2887500.0,-2,2394.28,0,1,0,0,1,0,0
335,8,3,2,1216,1365000.0,4,1122.53,0,0,0,1,1,0,0
336,8,4,2,1431,929200.0,28,649.34,1,0,0,0,1,0,0
337,4,3,3,1313,2934800.0,8,2235.19,0,1,0,0,0,0,1
338,4,4,4,1216,2598800.0,0,2137.17,1,0,0,0,0,0,1
339,8,3,2,1259,764400.0,36,607.15,1,0,0,0,1,0,0
340,4,3,3,1571,3719100.0,9,2367.35,1,0,0,0,1,0,0
341,4,4,2,1163,2422600.0,-3,2083.06,0,0,1,0,0,0,1
342,8,3,2,1012,839000.0,7,829.05,1,0,0,0,1,0,0
343,4,2,2,743,2557800.0,0,3442.53,1,0,0,0,0,0,1
344,8,2,1,699,407400.0,50,582.83,0,0,1,0,1,0,0
345,6,4,2,1249,1627500.0,5,1303.04,1,0,0,0,1,0,0
346,4,1,1,463,1194900.0,0,2580.78,0,0,1,0,0,0,1
347,10,5,5,7700,9135000.0,25,1186.36,1,0,0,0,1,0,0
348,4,3,4,1496,3735900.0,-2,2497.26,0,1,0,0,0,0,1
349,8,3,2,1001,691700.0,5,691.01,1,0,0,0,1,0,0
350,4,3,3,1281,3245400.0,-2,2533.49,0,0,1,0,0,0,1
351,10,6,6,5683,4776400.0,0,840.47,1,0,0,0,1,0,0
352,4,2,3,936,1449000.0,25,1548.08,1,0,0,0,1,0,0
353,10,5,5,4865,4305000.0,0,884.89,1,0,0,0,1,0,0
354,4,1,1,495,1302000.0,0,2630.3,0,1,0,0,0,0,1
355,2,5,6,8000,22050000.0,10,2756.25,0,1,0,0,1,0,0
356,4,3,2,958,1496200.0,-4,1561.8,1,0,0,0,1,0,0
357,8,2,2,743,446200.0,37,600.54,1,0,0,0,1,0,0
358,6,3,2,1076,1371300.0,-5,1274.44,0,1,0,0,1,0,0
359,12,5,6,2013,6174000.0,42,3067.06,1,0,0,0,0,0,1
360,3,5,5,3304,2541000.0,15,769.07,0,1,0,0,1,0,0
361,4,1,1,463,745500.0,6,1610.15,0,1,0,0,0,0,1
362,6,2,2,764,1143300.0,5,1496.47,1,0,0,0,1,0,0
363,8,3,2,1012,1016400.0,5,1004.35,1,0,0,0,1,0,0
364,4,2,2,840,975300.0,7,1161.07,1,0,0,0,1,0,0
365,4,3,3,1141,3767400.0,-3,3301.84,0,1,0,0,0,0,1
366,8,3,2,969,488200.0,33,503.82,1,0,0,0,1,0,0
367,8,3,2,990,519800.0,19,525.05,1,0,0,0,1,0,0
368,2,4,2,2002,11433200.0,42,5710.89,1,0,0,0,0,0,1
