code,line,name,opening_year,lat,lng,subzone,planning_area
ns12,ns,canberra,2019,1.443076641,103.8297026,sembawang springs,sembawang
ns13,ns,yishun,1988,1.429443085,103.835005,yishun west,yishun
ns14,ns,khatib,1988,1.41738337,103.8329799,khatib,yishun
ns15,ns,yio chu kang,1987,1.381755871,103.8449473,yio chu kang,ang mo kio
ns16,ns,ang mo kio,1987,1.36993285,103.8495581,cheng san,ang mo kio
ns17,ns,bishan,1987,1.351315801,103.8491403,bishan east,bishan
ns18,ns,braddell,1987,1.340469001,103.8467991,toa payoh west,toa payoh
ns19,ns,toa payoh,1987,1.332629281,103.8475022,toa payoh central,toa payoh
ns20,ns,novena,1987,1.320440791,103.8438256,moulmein,novena
ns21,ns,newton,1987,1.312318922,103.8379846,newton circus,newton
ns22,ns,orchard,1987,1.302422248,103.8238685,one tree hill,river valley
ns23,ns,somerset,1987,1.300264167,103.8390858,somerset,orchard
ns24,ns,dhoby ghaut,1987,1.298911644,103.8462925,dhoby ghaut,museum
ns25,ns,city hall,1987,1.292989907,103.8525426,city hall,downtown core
ns26,ns,raffles place,1987,1.283933262,103.8514631,raffles place,downtown core
ns27,ns,marina bay,1989,1.276311144,103.854605,central subzone,downtown core
ns28,ns,marina south pier,2014,1.271027036,103.8624475,straits view,straits view
te1,te,woodlands north,2020,1.448292453,103.7856927,greenwood park,woodlands
te2,te,woodlands,2020,1.436057617,103.7879388,woodlands regional centre,woodlands
te3,te,woodlands south,2020,1.427396053,103.7932643,woodlands south,woodlands
te4,te,springleaf,2021,1.397581061,103.8178569,nee soon,yishun
te5,te,lentor,2021,1.38550658,103.8357438,tagore,ang mo kio
te6,te,mayflower,2021,1.371463188,103.8365678,kebun bahru,ang mo kio
te7,te,bright hill,2021,1.363283185,103.8328936,upper thomson,bishan
te8,te,upper thomson,2021,1.354416434,103.8328985,upper thomson,bishan
te9,te,caldecott,2021,1.337245613,103.8401618,toa payoh west,toa payoh
