name,lat,lng,subzone,planning_area
Hougang Green Shopping Mall,1.3791215,103.88784192974084,trafalgar,hougang
Hougang Rivercourt,1.3628382892327269,103.89442241283086,kangkar,hougang
myVillage At Serangoon Garden,1.3652844148147685,103.8652504128309,serangoon garden,serangoon
Northshore Plaza,1.4178539822363616,103.9011998705018,northshore,punggol
Oasis Terraces,1.4026169882778177,103.91321292632463,waterway east,punggol
Punggol Plaza,1.39425115,103.91283460602591,punggol field,punggol
Rivervale Mall,1.39224515,103.9043778208493,rivervale,sengkang
Rivervale Plaza,1.3852212499999998,103.90164076610806,rivervale,sengkang
The Seletar Mall,1.3916816840575392,103.87613704166642,fernvale,sengkang
Upper Serangoon Shopping Centre,1.3536587,103.878822774012,lorong ah soo,hougang
Beauty World Centre,1.3423624,103.77648548347662,anak bukit,bukit timah
Beauty World Plaza,1.3419116000000002,103.77617326983568,anak bukit,bukit timah
Bukit Panjang Plaza,1.37865495,103.76209079817468,jelebu,bukit panjang
Bukit Timah Plaza,1.3384958999999998,103.77851115424271,anak bukit,bukit timah
Fajar Shopping Centre,1.3835484500000002,103.77101009780624,fajar,bukit panjang
Greenridge Shopping Centre,1.38533355,103.76617443308619,saujana,bukit panjang
Hillion Mall,1.37850815,103.76332120454073,jelebu,bukit panjang
HillV2,1.3634085,103.76438060148126,hillview,bukit batok
Junction 10,1.3803675000000002,103.76016739821614,teck whye,choa chu kang
Keat Hong Shopping Centre,1.37733185,103.74441652306051,keat hong,choa chu kang
Limbang Shopping Centre,1.3919423,103.74330514156574,choa chu kang north,choa chu kang
Lot One,1.38505675,103.74502766225241,choa chu kang central,choa chu kang
Rail Mall,1.3601778,103.76754491186723,nature reserve,bukit panjang
Sunshine Place,1.3777694500000002,103.73864915711646,peng siang,choa chu kang
Teck Whye Shopping Centre,1.3814377191029037,103.7523502839955,teck whye,choa chu kang
West Mall,1.3500765,103.74925662743149,bukit batok central,bukit batok
Yew Tee Point,1.39695775,103.74661216600052,yew tee,choa chu kang
Yew Tee Square,1.3982858,103.74700820164291,yew tee,choa chu kang
VivoCity,1.26437065,103.82295373341057,maritime square,bukit merah
HarbourFront Centre,1.2645726982412755,103.82005124208727,maritime square,bukit merah
Alexandra Retail Centre,1.2738926000000002,103.80145637841032,pasir panjang 2,queenstown
321 Clementi,1.31198275,103.76502015073059,clementi central,clementi
The Clementi Mall,1.314811,103.764657,clementi central,clementi
IMM,1.334611,103.74674944042104,toh guan,jurong east
JCube,1.33324885,103.74016949765759,jurong gateway,jurong east
Jem,1.3332962,103.74339115077903,jurong gateway,jurong east
Westgate,1.334194,103.74286707502577,jurong gateway,jurong east
Jurong Point,1.33949635,103.70525400991905,jurong west central,jurong west
Pioneer Mall,1.34169785,103.69716062421308,jurong west central,jurong west
The Star Vista,1.3068312,103.78842676612958,one north,queenstown
Alexandra Central,1.2873523999999998,103.80525719004733,alexandra hill,bukit merah
Anchorpoint,1.2886745000000002,103.80509515066991,mei chin,queenstown
OD Mall,1.338233643134686,103.79346325516008,swiss club,bukit timah
Boon Lay Shopping Centre,1.34633675,103.71276135737722,boon lay place,jurong west
Grantral Mall,1.3142938999999998,103.7651345,clementi central,clementi
Fairprice Hub,1.32553245,103.6784394466132,joo koon,pioneer
Gek Poh Shopping Centre,1.349176,103.69751948374521,yunnan,jurong west
Rochester Mall,1.30565775,103.78808375779349,one north,queenstown
Taman Jurong Shopping Centre,1.33478625,103.72010845018316,taman jurong,jurong west
West Coast Plaza,1.30363585,103.76603396370399,clementi woods,clementi
Queensway Shopping Centre,1.28750595,103.8035434807163,queensway,queenstown
