name,lat,lng,subzone,planning_area
East Coast Primary School,1.3295133,103.9199019774152,kembangan,serangoon
East Spring Primary School,1.3528815,103.96191726928652,tampines east,serangoon
Edgefield Primary School,1.40035045,103.90752739305408,punggol field,serangoon
Endeavour Primary School,1.4544299500000002,103.817579208594,sembawang north,serangoon
Eunos Primary School,1.32481685,103.90436609811891,geylang east,serangoon
Evergreen Primary School,1.44383025,103.79473608556,woodlands east,serangoon
Fairfield Methodist School (Primary),1.30081995,103.78564895989409,dover,serangoon
Farrer Park Primary School,1.3125636,103.85102680900957,kampong java,serangoon
Fengshan Primary School,1.3300987,103.93188245052653,bedok north,serangoon
Fernvale Primary School,1.3899632999999998,103.87421087053569,fernvale,serangoon
First Toa Payoh Primary School,1.3404649,103.8558674534298,lorong 8 toa payoh,serangoon
Frontier Primary School,1.3369298,103.69963774202806,jurong west central,serangoon
Fuchun Primary School,1.43072155,103.77823059447891,woodgrove,serangoon
Fuhua Primary School,1.3364853499999998,103.73645449079085,yuhua east,serangoon
Gan Eng Seng Primary School,1.2858741500000002,103.81513175137864,redhill,serangoon
Geylang Methodist School (Primary),1.318445,103.8841431,aljunied,serangoon
Gongshang Primary School,1.3573371,103.94930547179054,tampines east,serangoon
Greendale Primary School,1.39620005,103.91272454370993,punggol field,serangoon
Greenridge Primary School,1.3856168,103.76800482210834,saujana,serangoon
Greenwood Primary School,1.4399652,103.8047573433338,woodlands east,serangoon
Guangyang Primary School,1.34577845,103.8493008193874,bishan east,serangoon
Haig Girls' School,1.3121933674473345,103.9026628840864,geylang east,serangoon
Holy Innocents' Primary School,1.3750163999999998,103.85741484638571,cheng san,serangoon
Henry Park Primary School,1.3170569,103.78421632658535,ulu pandan,serangoon
Hong Wen School,1.321892266688894,103.8575792417584,bendemeer,serangoon
Horizon Primary School,1.39998505,103.91311619800231,waterway east,serangoon
Hougang Primary School,1.3783581,103.88107202176852,trafalgar,serangoon
Huamin Primary School,1.42686205,103.84426433501295,yishun east,serangoon
Innova Primary School,1.4292761,103.79073434544745,woodlands south,serangoon
Jiemin Primary School,1.42810765,103.83017091898064,yishun west,serangoon
Jing Shan Primary School,1.3725514399129648,103.85175571292244,cheng san,serangoon
Junyuan Primary School,1.347782,103.93939724659658,tampines west,serangoon
Jurong Primary School,1.33931415,103.69902734141114,jurong west central,serangoon
Jurong West Primary School,1.33931415,103.69902734141114,jurong west central,serangoon
Juying Primary School,1.33875125,103.68825378175829,yunnan,serangoon
Keming Primary School,1.3453422000000002,103.75639902669866,bukit batok central,serangoon
Kheng Cheng School,1.3378856690741556,103.8478276840864,braddell,serangoon
Kong Hwa School,1.3112606154658055,103.88819875525049,aljunied,serangoon
Kranji Primary School,1.39393915,103.74715505973106,choa chu kang north,serangoon
Kuo Chuan Presbyterian Primary School,1.3492238,103.85502581269662,bishan east,serangoon
Lakeside Primary School,1.33834735,103.71798831116392,taman jurong,serangoon
Lianhua Primary School,1.3538321158358189,103.75442516874266,guilin,serangoon
Loyang Primary School,1.3708794000000002,103.95623138651112,pasir ris drive,serangoon
MacPherson Primary School,1.32474515,103.88157961748017,macpherson,serangoon
Maha Bodhi School,1.3286061661606527,103.9015677552504,kampong ubi,serangoon
Maris Stella High School,1.3414309982135997,103.87765466874264,bidadari,serangoon
Marsiling Primary School,1.4341551000000001,103.77336667761656,woodlands west,serangoon
Marymount Convent School,1.3408923464794833,103.84001387059429,toa payoh west,serangoon
Mayflower Primary School,1.3766642,103.84324206414888,kebun bahru,serangoon
Mee Toh School,1.3949981377651095,103.90897621292248,punggol field,serangoon
Meridian Primary School,1.37603155,103.93515918976748,pasir ris west,serangoon
Methodist Girls' School (Primary),1.34993195,103.88492375591991,tai seng,serangoon
Montfort Junior School,1.3741711397591403,103.88947819757864,hougang west,serangoon
Nan Chiau Primary School,1.39202675,103.89104244775345,anchorvale,serangoon
Nanyang Primary School,1.3208318499999998,103.80821659496904,farrer court,serangoon
Ngee Ann Primary School,1.30554595,103.91795247595276,marine parade,serangoon
Naval Base Primary School,1.4165306000000002,103.83846101951393,yishun south,serangoon
New Town Primary School,1.29972515,103.80008513099865,tanglin halt,serangoon
Northland Primary School,1.4212034,103.84058396984423,yishun south,serangoon
Northoaks Primary School,1.4571333555369033,103.81371912641464,sembawang north,serangoon
North Spring Primary School,1.3876013999999999,103.9037892237047,rivervale,serangoon
North View Primary School,1.42773465,103.84865657176469,yishun east,serangoon
North Vista Primary School,1.3828948,103.89597706955436,compassvale,serangoon
Oasis Primary School,1.40470205,103.91100795444132,waterway east,serangoon
Opera Estate Primary School,1.3196642,103.92376598402687,frankel,serangoon
Palm View Primary School,1.38410015,103.89115435183996,compassvale,serangoon
Pasir Ris Primary School,1.37215285,103.96302630022184,pasir ris drive,serangoon
Paya Lebar Methodist Girls' School (Primary),1.34993195,103.88492375591991,tai seng,serangoon
Pei Chun Public School,1.3373117654717253,103.85582515525049,pei chun,serangoon
Pei Hwa Presbyterian Primary School,1.3380993,103.77621882050181,anak bukit,serangoon
Pei Tong Primary School,1.31626635,103.76784091606936,clementi north,serangoon
Peiying Primary School,1.41751755,103.83034243520821,khatib,serangoon
Pioneer Primary School,1.3489146,103.69480866814555,yunnan,serangoon
Poi Ching School,1.3581658670940389,103.93571034175841,tampines west,serangoon
Princess Elizabeth Primary School,1.3493822,103.7409542001814,bukit batok west,serangoon
Punggol Cove Primary School,1.4117400999999998,103.89921923530514,punggol town centre,serangoon
Punggol Green Primary School,1.40198075,103.89854883359156,matilda,serangoon
Punggol Primary School,1.4117400999999998,103.89921923530514,punggol town centre,serangoon
Punggol View Primary School,1.4053286,103.90527821978418,punggol town centre,serangoon
Qifa Primary School,1.31280555,103.75696495470032,west coast,serangoon
Qihua Primary School,1.4420502000000002,103.78833369286495,midview,serangoon
Queenstown Primary School,1.2960256,103.80785171931429,margaret drive,serangoon
Radin Mas Primary School,1.2750442,103.8240239309686,telok blangah rise,serangoon
Raffles Girls' Primary School,1.33012955,103.80626230616795,hillcrest,serangoon
Red Swastika School,1.3334196732329595,103.93422015525054,bedok north,serangoon
Riverside Primary School,1.4472778999999998,103.80183283378791,woodlands east,serangoon
Rivervale Primary School,1.39365955,103.90461253174679,rivervale,serangoon
Rosyth School,1.3731981943863196,103.87469674175837,serangoon north,serangoon
Rulang Primary School,1.34660905,103.71873699937235,hong kah,serangoon
Sengkang Green Primary School,1.39288245,103.87480361151378,fernvale,serangoon
Sembawang Primary School,1.4452989,103.82089038717231,sembawang central,serangoon
Si Ling Primary School,1.4328753321344805,103.78579145525059,woodgrove,serangoon
Seng Kang Primary School,1.38939055,103.89939534841366,sengkang town centre,serangoon
Shuqun Primary School,1.34712705,103.72159024757968,hong kah,serangoon
South View Primary School,1.38236605,103.7559991213845,teck whye,serangoon
Springdale Primary School,1.3949768,103.88977656483088,anchorvale,serangoon
Stamford Primary School,1.3038409,103.85730102406204,rochor canal,serangoon
St. Andrew's Junior School,1.3313626069357312,103.86538308593808,potong pasir,serangoon
St. Anthony's Canossian Primary School,1.3351159471150793,103.9417050129224,bedok north,serangoon
St. Hilda's Primary School,1.3498773644695083,103.93609376874264,tampines west,serangoon
St. Joseph's Institution Junior,1.3176403750214425,103.84554447059428,moulmein,serangoon
St. Stephen's School,1.3190652708852972,103.91761141292237,frankel,serangoon
Tampines North Primary School,1.3605469,103.94912431881409,tampines east,serangoon
Tampines Primary School,1.3503174,103.9439018600156,tampines east,serangoon
Tanjong Katong Primary School,1.30530945,103.90044091611763,katong,serangoon
Tao Nan School,1.3050667898404658,103.9114232687426,marine parade,serangoon
Teck Ghee Primary School,1.36536405,103.85094242701621,townsville,serangoon
Teck Whye Primary School,1.3838682,103.7536443863903,teck whye,serangoon
Telok Kurau Primary School,1.3308798000000002,103.91131564036577,kaki bukit,serangoon
Temasek Primary School,1.31740605,103.94576768908844,bedok south,serangoon
Townsville Primary School,1.36043645,103.85403682697996,chong boon,serangoon
Unity Primary School,1.40273665,103.74675327152694,yew tee,serangoon
Valour Primary School,1.4072779,103.8988571810586,punggol town centre,serangoon
Waterway Primary School,1.3992087999999998,103.91839414052308,waterway east,serangoon
Wellington Primary School,1.45213625,103.82241263283716,admiralty,serangoon
West Grove Primary School,1.34468085,103.69898328299088,yunnan,serangoon
West Spring Primary School,1.38952295,103.7662652836811,saujana,serangoon
Westwood Primary School,1.34744235,103.700513045387,yunnan,serangoon
West View Primary School,1.3834687,103.76006292358551,senja,serangoon
White Sands Primary School,1.36547295,103.96125455882462,pasir ris drive,serangoon
Woodgrove Primary School,1.4331091,103.7903127321107,woodlands south,serangoon
Woodlands Primary School,1.43466535,103.79784050639532,woodlands east,serangoon
Woodlands Ring Primary School,1.43466535,103.79784050639532,woodlands east,serangoon
Xinghua Primary School,1.3580028,103.89051501350175,lorong ah soo,serangoon
Xingnan Primary School,1.3407142,103.6869025,yunnan,serangoon
Xinmin Primary School,1.3714019,103.88317857629349,hougang west,serangoon
Xishan Primary School,1.43343,103.83778655449996,northland,serangoon
Yangzheng Primary School,1.34876345,103.8684635802252,serangoon central,serangoon
Yew Tee Primary School,1.39696185,103.75109299121249,yew tee,serangoon
Yio Chu Kang Primary School,1.37791475,103.88546126892923,trafalgar,serangoon
Yishun Primary School,1.4335987,103.83388688680027,yishun west,serangoon
Yu Neng Primary School,1.3340222657325769,103.93195054175834,bedok north,serangoon
Yuhua Primary School,1.3428913,103.74096003566154,yuhua east,serangoon
Yumin Primary School,1.3512643,103.95087354401925,tampines east,serangoon
Zhangde Primary School,1.2842497000000002,103.82608192459686,tiong bahru station,serangoon
Zhenghua Primary School,1.3794258999999998,103.76966611591426,fajar,serangoon
Zhonghua Primary School,1.3599113999999999,103.86971022260559,serangoon garden,serangoon
